year,geo_description,type,subtype,estimate,se
2006,"Durham County, NC",Race and Ethnicity,African American,0.615,0.017653061224489796
2006,"Forsyth County, NC",Race and Ethnicity,African American,0.601,0.023724489795918367
2006,"Guilford County, NC",Race and Ethnicity,African American,0.611,0.014591836734693877
2006,North Carolina,Race and Ethnicity,African American,0.552,0.004234693877551021
2006,United States,Race and Ethnicity,African American,0.546,6.122448979591836e-4
2006,"Durham County, NC",Gender,Female,0.744,0.013979591836734695
2006,"Forsyth County, NC",Gender,Female,0.722,0.016428571428571428
2006,"Guilford County, NC",Gender,Female,0.696,0.014591836734693877
2006,North Carolina,Gender,Female,0.669,0.0024489795918367346
2006,United States,Gender,Female,0.672,6.122448979591836e-4
2006,"Durham County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2006,"Forsyth County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2006,"Guilford County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2006,North Carolina,Race and Ethnicity,Hispanic/Latino,0.69,0.007908163265306122
2006,United States,Race and Ethnicity,Hispanic/Latino,0.627,6.122448979591836e-4
2006,"Durham County, NC",Gender,Male,0.756,0.013367346938775511
2006,"Forsyth County, NC",Gender,Male,0.813,0.015204081632653061
2006,"Guilford County, NC",Gender,Male,0.807,0.009744897959183672
2006,North Carolina,Gender,Male,0.76,0.0024489795918367346
2006,United States,Gender,Male,0.778,6.122448979591836e-4
2006,"Durham County, NC",Employment Rate,Total Population,0.656,0.00913265306122449
2006,"Forsyth County, NC",Employment Rate,Total Population,0.634,0.010357142857142856
2006,"Guilford County, NC",Employment Rate,Total Population,0.625,0.0066836734693877554
2006,North Carolina,Employment Rate,Total Population,0.598,0.0012244897959183673
2006,United States,Employment Rate,Total Population,0.604,6.122448979591836e-4
2006,"Durham County, NC",Race and Ethnicity,"White, non-Hispanic",0.669,0.013979591836734695
2006,"Forsyth County, NC",Race and Ethnicity,"White, non-Hispanic",0.631,0.010357142857142856
2006,"Guilford County, NC",Race and Ethnicity,"White, non-Hispanic",0.632,0.0066836734693877554
2006,North Carolina,Race and Ethnicity,"White, non-Hispanic",0.605,0.001836734693877551
2006,United States,Race and Ethnicity,"White, non-Hispanic",0.61,6.122448979591836e-4
2007,"Durham County, NC",Race and Ethnicity,African American,0.606,0.018826530612244898
2007,"Forsyth County, NC",Race and Ethnicity,African American,0.572,0.023724489795918367
2007,"Guilford County, NC",Race and Ethnicity,African American,0.613,0.013979591836734695
2007,North Carolina,Race and Ethnicity,African American,0.555,0.004234693877551021
2007,United States,Race and Ethnicity,African American,0.548,0.0012244897959183673
2007,"Durham County, NC",Gender,Female,0.734,0.013367346938775511
2007,"Forsyth County, NC",Gender,Female,0.682,0.014591836734693877
2007,"Guilford County, NC",Gender,Female,0.685,0.011530612244897959
2007,North Carolina,Gender,Female,0.664,0.003622448979591837
2007,United States,Gender,Female,0.673,6.122448979591836e-4
2007,"Durham County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2007,"Forsyth County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2007,"Guilford County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2007,North Carolina,Race and Ethnicity,Hispanic/Latino,0.683,0.007295918367346939
2007,United States,Race and Ethnicity,Hispanic/Latino,0.625,6.122448979591836e-4
2007,"Durham County, NC",Gender,Male,0.754,0.018826530612244898
2007,"Forsyth County, NC",Gender,Male,0.803,0.012142857142857144
2007,"Guilford County, NC",Gender,Male,0.816,0.010357142857142856
2007,North Carolina,Gender,Male,0.765,0.0024489795918367346
2007,United States,Gender,Male,0.776,6.122448979591836e-4
2007,"Durham County, NC",Employment Rate,Total Population,0.641,0.010357142857142856
2007,"Forsyth County, NC",Employment Rate,Total Population,0.612,0.008520408163265306
2007,"Guilford County, NC",Employment Rate,Total Population,0.625,0.0066836734693877554
2007,North Carolina,Employment Rate,Total Population,0.596,0.001836734693877551
2007,United States,Employment Rate,Total Population,0.603,6.122448979591836e-4
2007,"Durham County, NC",Race and Ethnicity,"White, non-Hispanic",0.649,0.013367346938775511
2007,"Forsyth County, NC",Race and Ethnicity,"White, non-Hispanic",0.606,0.00913265306122449
2007,"Guilford County, NC",Race and Ethnicity,"White, non-Hispanic",0.631,0.00913265306122449
2007,North Carolina,Race and Ethnicity,"White, non-Hispanic",0.601,0.001836734693877551
2007,United States,Race and Ethnicity,"White, non-Hispanic",0.609,6.122448979591836e-4
2008,"Durham County, NC",Race and Ethnicity,African American,0.639,0.02066326530612245
2008,"Forsyth County, NC",Race and Ethnicity,African American,0.572,0.02066326530612245
2008,"Guilford County, NC",Race and Ethnicity,African American,0.603,0.015204081632653061
2008,North Carolina,Race and Ethnicity,African American,0.571,0.004234693877551021
2008,United States,Race and Ethnicity,African American,0.562,0.0012244897959183673
2008,"Durham County, NC",Gender,Female,0.738,0.015204081632653061
2008,"Forsyth County, NC",Gender,Female,0.698,0.012755102040816327
2008,"Guilford County, NC",Gender,Female,0.71,0.012142857142857144
2008,North Carolina,Gender,Female,0.686,0.0030612244897959186
2008,United States,Gender,Female,0.692,6.122448979591836e-4
2008,"Durham County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2008,"Forsyth County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2008,"Guilford County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2008,North Carolina,Race and Ethnicity,Hispanic/Latino,0.686,0.007295918367346939
2008,United States,Race and Ethnicity,Hispanic/Latino,0.638,6.122448979591836e-4
2008,"Durham County, NC",Gender,Male,0.784,0.02066326530612245
2008,"Forsyth County, NC",Gender,Male,0.783,0.013367346938775511
2008,"Guilford County, NC",Gender,Male,0.805,0.012755102040816327
2008,North Carolina,Gender,Male,0.762,0.0030612244897959186
2008,United States,Gender,Male,0.783,6.122448979591836e-4
2008,"Durham County, NC",Employment Rate,Total Population,0.644,0.018826530612244898
2008,"Forsyth County, NC",Employment Rate,Total Population,0.611,0.007908163265306122
2008,"Guilford County, NC",Employment Rate,Total Population,0.63,0.007908163265306122
2008,North Carolina,Employment Rate,Total Population,0.605,0.001836734693877551
2008,United States,Employment Rate,Total Population,0.613,6.122448979591836e-4
2008,"Durham County, NC",Race and Ethnicity,"White, non-Hispanic",0.629,0.030408163265306123
2008,"Forsyth County, NC",Race and Ethnicity,"White, non-Hispanic",0.613,0.008520408163265306
2008,"Guilford County, NC",Race and Ethnicity,"White, non-Hispanic",0.639,0.00913265306122449
2008,North Carolina,Race and Ethnicity,"White, non-Hispanic",0.609,0.001836734693877551
2008,United States,Race and Ethnicity,"White, non-Hispanic",0.616,6.122448979591836e-4
2009,"Durham County, NC",Race and Ethnicity,African American,0.607,0.017653061224489796
2009,"Forsyth County, NC",Race and Ethnicity,African American,0.542,0.018214285714285718
2009,"Guilford County, NC",Race and Ethnicity,African American,0.578,0.02188775510204082
2009,North Carolina,Race and Ethnicity,African American,0.527,0.004234693877551021
2009,United States,Race and Ethnicity,African American,0.524,0.0012244897959183673
2009,"Durham County, NC",Gender,Female,0.711,0.019438775510204082
2009,"Forsyth County, NC",Gender,Female,0.648,0.015816326530612244
2009,"Guilford County, NC",Gender,Female,0.688,0.010918367346938775
2009,North Carolina,Gender,Female,0.655,0.0030612244897959186
2009,United States,Gender,Female,0.67,6.122448979591836e-4
2009,"Durham County, NC",Race and Ethnicity,Hispanic/Latino,NA,NA
2009,"Forsyth County, NC",Race and Ethnicity,Hispanic/Latino,0.632,0.02433673469387755
2009,"Guilford County, NC",Race and Ethnicity,Hispanic/Latino,0.676,0.03403061224489796
2009,North Carolina,Race and Ethnicity,Hispanic/Latino,0.631,0.007295918367346939
2009,United States,Race and Ethnicity,Hispanic/Latino,0.603,0.0012244897959183673
2009,"Durham County, NC",Gender,Male,0.745,0.018214285714285718
2009,"Forsyth County, NC",Gender,Male,0.738,0.016428571428571428
