"Year","Geographic area","Type","Subtype","Estimate","MOE"
"2006","United States","Employment Rate","Total Population","0.604","0.0012"
"2006","North Carolina","Employment Rate","Total Population","0.598","0.0024"
"2006","Durham","Employment Rate","Total Population","0.656","0.0179"
"2006","Forsyth","Employment Rate","Total Population","0.634","0.0203"
"2006","Guilford","Employment Rate","Total Population","0.625","0.0131"
"2007","United States","Employment Rate","Total Population","0.603","0.0012"
"2007","North Carolina","Employment Rate","Total Population","0.596","0.0036"
"2007","Durham","Employment Rate","Total Population","0.641","0.0203"
"2007","Forsyth","Employment Rate","Total Population","0.612","0.0167"
"2007","Guilford","Employment Rate","Total Population","0.625","0.0131"
"2008","United States","Employment Rate","Total Population","0.613","0.0012"
"2008","North Carolina","Employment Rate","Total Population","0.605","0.0036"
"2008","Durham","Employment Rate","Total Population","0.644","0.0369"
"2008","Forsyth","Employment Rate","Total Population","0.611","0.0155"
"2008","Guilford","Employment Rate","Total Population","0.63","0.0155"
"2009","United States","Employment Rate","Total Population","0.583","0.0012"
"2009","North Carolina","Employment Rate","Total Population","0.564","0.0036"
"2009","Durham","Employment Rate","Total Population","0.62","0.0238"
"2009","Forsyth","Employment Rate","Total Population","0.565","0.0203"
"2009","Guilford","Employment Rate","Total Population","0.593","0.0167"
"2010","United States","Employment Rate","Total Population","0.57","0.0012"
"2010","North Carolina","Employment Rate","Total Population","0.549","0.0036"
"2010","Durham","Employment Rate","Total Population","0.598","0.0226"
"2010","Forsyth","Employment Rate","Total Population","0.566","0.0179"
"2010","Guilford","Employment Rate","Total Population","0.578","0.0155"
"2011","United States","Employment Rate","Total Population","0.57","0.0012"
"2011","North Carolina","Employment Rate","Total Population","0.551","0.0048"
"2011","Durham","Employment Rate","Total Population","0.62","0.0226"
"2011","Forsyth","Employment Rate","Total Population","0.567","0.0191"
"2011","Guilford","Employment Rate","Total Population","0.58","0.0179"
"2012","United States","Employment Rate","Total Population","0.575","0.0012"
"2012","North Carolina","Employment Rate","Total Population","0.553","0.0036"
"2012","Durham","Employment Rate","Total Population","0.617","0.0179"
"2012","Forsyth","Employment Rate","Total Population","0.558","0.0143"
"2012","Guilford","Employment Rate","Total Population","0.577","0.0143"
"2013","United States","Employment Rate","Total Population","0.579","0.0012"
"2013","North Carolina","Employment Rate","Total Population","0.558","0.0036"
"2013","Durham","Employment Rate","Total Population","0.636","0.0238"
"2013","Forsyth","Employment Rate","Total Population","0.583","0.0179"
"2013","Guilford","Employment Rate","Total Population","0.582","0.0131"
"2014","United States","Employment Rate","Total Population","0.584","0.0012"
"2014","North Carolina","Employment Rate","Total Population","0.563","0.0036"
"2014","Durham","Employment Rate","Total Population","0.615","0.0191"
"2014","Forsyth","Employment Rate","Total Population","0.567","0.0143"
"2014","Guilford","Employment Rate","Total Population","0.584","0.0119"
"2015","United States","Employment Rate","Total Population","0.588","0.0012"
"2015","North Carolina","Employment Rate","Total Population","0.568","0.0024"
"2015","Durham","Employment Rate","Total Population","0.653","0.0191"
"2015","Forsyth","Employment Rate","Total Population","0.578","0.0167"
"2015","Guilford","Employment Rate","Total Population","0.593","0.0155"
"2016","United States","Employment Rate","Total Population","0.591","0.0012"
"2016","North Carolina","Employment Rate","Total Population","0.572","0.0036"
"2016","Durham","Employment Rate","Total Population","0.649","0.0203"
"2016","Forsyth","Employment Rate","Total Population","0.58","0.0155"
"2016","Guilford","Employment Rate","Total Population","0.592","0.0143"
"2017","United States","Employment Rate","Total Population","0.595","0.0012"
"2017","North Carolina","Employment Rate","Total Population","0.58","0.0036"
"2017","Durham","Employment Rate","Total Population","0.635","0.0167"
"2017","Forsyth","Employment Rate","Total Population","0.581","0.0167"
"2017","Guilford","Employment Rate","Total Population","0.607","0.0143"
"2006","United States","Race and Ethnicity","African American","0.546","0.0012"
"2006","North Carolina","Race and Ethnicity","African American","0.552","0.0083"
"2006","Durham","Race and Ethnicity","African American","0.615","0.0346"
"2006","Forsyth","Race and Ethnicity","African American","0.601","0.0465"
"2006","Guilford","Race and Ethnicity","African American","0.611","0.0286"
"2006","United States","Race and Ethnicity","Hispanic/Latino","0.627","0.0012"
"2006","North Carolina","Race and Ethnicity","Hispanic/Latino","0.69","0.0155"
"2006","Durham","Race and Ethnicity","Hispanic/Latino","",""
"2006","Forsyth","Race and Ethnicity","Hispanic/Latino","",""
"2006","Guilford","Race and Ethnicity","Hispanic/Latino","",""
"2006","United States","Race and Ethnicity","White, non-Hispanic","0.61","0.0012"
"2006","North Carolina","Race and Ethnicity","White, non-Hispanic","0.605","0.0036"
"2006","Durham","Race and Ethnicity","White, non-Hispanic","0.669","0.0274"
"2006","Forsyth","Race and Ethnicity","White, non-Hispanic","0.631","0.0203"
"2006","Guilford","Race and Ethnicity","White, non-Hispanic","0.632","0.0131"
"2007","United States","Race and Ethnicity","African American","0.548","0.0024"
"2007","North Carolina","Race and Ethnicity","African American","0.555","0.0083"
"2007","Durham","Race and Ethnicity","African American","0.606","0.0369"
"2007","Forsyth","Race and Ethnicity","African American","0.572","0.0465"
"2007","Guilford","Race and Ethnicity","African American","0.613","0.0274"
"2007","United States","Race and Ethnicity","Hispanic/Latino","0.625","0.0012"
"2007","North Carolina","Race and Ethnicity","Hispanic/Latino","0.683","0.0143"
"2007","Durham","Race and Ethnicity","Hispanic/Latino","",""
"2007","Forsyth","Race and Ethnicity","Hispanic/Latino","",""
"2007","Guilford","Race and Ethnicity","Hispanic/Latino","",""
"2007","United States","Race and Ethnicity","White, non-Hispanic","0.609","0.0012"
