geo_description,year,description,estimate,se,type,subtype
United States,2006,20th Percentile,20264,9.12,Income by Quintiles,Total Population
North Carolina,2006,20th Percentile,18176,130.7,Income by Quintiles,Total Population
"Durham County, NC",2006,20th Percentile,19983,708.21,Income by Quintiles,Total Population
"Forsyth County, NC",2006,20th Percentile,19486,923.4,Income by Quintiles,Total Population
"Guilford County, NC",2006,20th Percentile,19145,761.09,Income by Quintiles,Total Population
United States,2006,40th Percentile,38200,29.18,Income by Quintiles,Total Population
North Carolina,2006,40th Percentile,33619,252.89,Income by Quintiles,Total Population
"Durham County, NC",2006,40th Percentile,37564,1381.15,Income by Quintiles,Total Population
"Forsyth County, NC",2006,40th Percentile,36236,863.22,Income by Quintiles,Total Population
"Guilford County, NC",2006,40th Percentile,34336,1043.16,Income by Quintiles,Total Population
United States,2006,60th Percentile,60224,46.2,Income by Quintiles,Total Population
North Carolina,2006,60th Percentile,52687,308.21,Income by Quintiles,Total Population
"Durham County, NC",2006,60th Percentile,57645,1899.09,Income by Quintiles,Total Population
"Forsyth County, NC",2006,60th Percentile,54733,896.05,Income by Quintiles,Total Population
"Guilford County, NC",2006,60th Percentile,56118,1167.78,Income by Quintiles,Total Population
United States,2006,80th Percentile,94150,61.4,Income by Quintiles,Total Population
North Carolina,2006,80th Percentile,82457,321.58,Income by Quintiles,Total Population
"Durham County, NC",2006,80th Percentile,92090,4531.31,Income by Quintiles,Total Population
"Forsyth County, NC",2006,80th Percentile,87915,3002.43,Income by Quintiles,Total Population
"Guilford County, NC",2006,80th Percentile,87310,2186.63,Income by Quintiles,Total Population
United States,2006,95th Percentile,170715,188.45,Income by Quintiles,Total Population
North Carolina,2006,95th Percentile,147928,1604.26,Income by Quintiles,Total Population
"Durham County, NC",2006,95th Percentile,166569,9570.21,Income by Quintiles,Total Population
"Forsyth County, NC",2006,95th Percentile,161060,5574.47,Income by Quintiles,Total Population
"Guilford County, NC",2006,95th Percentile,153912,4819.45,Income by Quintiles,Total Population
United States,2007,20th Percentile,21204,34.65,Income by Quintiles,Total Population
North Carolina,2007,20th Percentile,18567,183.59,Income by Quintiles,Total Population
"Durham County, NC",2007,20th Percentile,18714,933.13,Income by Quintiles,Total Population
"Forsyth County, NC",2007,20th Percentile,19953,1153.8,Income by Quintiles,Total Population
"Guilford County, NC",2007,20th Percentile,19297,950.15,Income by Quintiles,Total Population
United States,2007,40th Percentile,40253,49.24,Income by Quintiles,Total Population
North Carolina,2007,40th Percentile,35340,168.99,Income by Quintiles,Total Population
"Durham County, NC",2007,40th Percentile,36728,1752.58,Income by Quintiles,Total Population
"Forsyth County, NC",2007,40th Percentile,35742,1188.45,Income by Quintiles,Total Population
"Guilford County, NC",2007,40th Percentile,35714,659.58,Income by Quintiles,Total Population
United States,2007,60th Percentile,62601,49.24,Income by Quintiles,Total Population
North Carolina,2007,60th Percentile,55351,324.62,Income by Quintiles,Total Population
"Durham County, NC",2007,60th Percentile,57045,2697.27,Income by Quintiles,Total Population
"Forsyth County, NC",2007,60th Percentile,58108,1573.25,Income by Quintiles,Total Population
"Guilford County, NC",2007,60th Percentile,58395,1993.31,Income by Quintiles,Total Population
United States,2007,80th Percentile,99069,137.99,Income by Quintiles,Total Population
North Carolina,2007,80th Percentile,86786,473.56,Income by Quintiles,Total Population
"Durham County, NC",2007,80th Percentile,93437,2848.03,Income by Quintiles,Total Population
