GEOID,geo_description,type,estimate,se
37067000100,"Census Tract 1, Forsyth County, North Carolina",Median Home Value,231900,29561.224
37067000200,"Census Tract 2, Forsyth County, North Carolina",Median Home Value,306300,52451.531
37067000301,"Census Tract 3.01, Forsyth County, North Carolina",Median Home Value,84700,2205.102
37067000302,"Census Tract 3.02, Forsyth County, North Carolina",Median Home Value,46000,5437.755
37067000400,"Census Tract 4, Forsyth County, North Carolina",Median Home Value,77800,3601.531
37067000500,"Census Tract 5, Forsyth County, North Carolina",Median Home Value,56800,4214.286
37067000600,"Census Tract 6, Forsyth County, North Carolina",Median Home Value,84500,3641.327
37067000700,"Census Tract 7, Forsyth County, North Carolina",Median Home Value,91300,11287.245
37067000801,"Census Tract 8.01, Forsyth County, North Carolina",Median Home Value,44400,13359.184
37067000802,"Census Tract 8.02, Forsyth County, North Carolina",Median Home Value,52300,4286.735
37067000900,"Census Tract 9, Forsyth County, North Carolina",Median Home Value,147100,11845.408
37067001000,"Census Tract 10, Forsyth County, North Carolina",Median Home Value,160600,3319.388
37067001100,"Census Tract 11, Forsyth County, North Carolina",Median Home Value,319400,29287.755
37067001200,"Census Tract 12, Forsyth County, North Carolina",Median Home Value,405300,19176.531
37067001300,"Census Tract 13, Forsyth County, North Carolina",Median Home Value,256500,18951.02
37067001400,"Census Tract 14, Forsyth County, North Carolina",Median Home Value,82100,3836.224
37067001500,"Census Tract 15, Forsyth County, North Carolina",Median Home Value,104800,9115.306
37067001601,"Census Tract 16.01, Forsyth County, North Carolina",Median Home Value,100700,7420.918
37067001602,"Census Tract 16.02, Forsyth County, North Carolina",Median Home Value,61800,8618.367
37067001700,"Census Tract 17, Forsyth County, North Carolina",Median Home Value,110700,4762.245
37067001800,"Census Tract 18, Forsyth County, North Carolina",Median Home Value,60400,5420.918
37067001901,"Census Tract 19.01, Forsyth County, North Carolina",Median Home Value,62200,9798.469
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",Median Home Value,139600,6684.184
37067002001,"Census Tract 20.01, Forsyth County, North Carolina",Median Home Value,87400,3223.98
37067002002,"Census Tract 20.02, Forsyth County, North Carolina",Median Home Value,79300,6901.531
37067002100,"Census Tract 21, Forsyth County, North Carolina",Median Home Value,146300,4326.531
