GEOID,geo_description,type,estimate,se
37067000100,"Census Tract 1, Forsyth County, North Carolina",Poverty Rate,13.5,2.908
37067000200,"Census Tract 2, Forsyth County, North Carolina",Poverty Rate,57.5,6.224
37067000301,"Census Tract 3.01, Forsyth County, North Carolina",Poverty Rate,53.8,5.204
37067000302,"Census Tract 3.02, Forsyth County, North Carolina",Poverty Rate,36,5.612
37067000400,"Census Tract 4, Forsyth County, North Carolina",Poverty Rate,25.3,4.388
37067000500,"Census Tract 5, Forsyth County, North Carolina",Poverty Rate,41.7,5.051
37067000600,"Census Tract 6, Forsyth County, North Carolina",Poverty Rate,48,6.837
37067000700,"Census Tract 7, Forsyth County, North Carolina",Poverty Rate,46.1,5.051
37067000801,"Census Tract 8.01, Forsyth County, North Carolina",Poverty Rate,80.5,5.969
37067000802,"Census Tract 8.02, Forsyth County, North Carolina",Poverty Rate,58.2,5.663
37067000900,"Census Tract 9, Forsyth County, North Carolina",Poverty Rate,36.7,4.694
37067001000,"Census Tract 10, Forsyth County, North Carolina",Poverty Rate,32.2,4.745
37067001100,"Census Tract 11, Forsyth County, North Carolina",Poverty Rate,18.9,2.959
37067001200,"Census Tract 12, Forsyth County, North Carolina",Poverty Rate,3.2,1.122
37067001300,"Census Tract 13, Forsyth County, North Carolina",Poverty Rate,25,5.663
37067001400,"Census Tract 14, Forsyth County, North Carolina",Poverty Rate,38.7,5.918
37067001500,"Census Tract 15, Forsyth County, North Carolina",Poverty Rate,31.5,4.235
37067001601,"Census Tract 16.01, Forsyth County, North Carolina",Poverty Rate,16.1,3.52
37067001602,"Census Tract 16.02, Forsyth County, North Carolina",Poverty Rate,45.1,6.224
37067001700,"Census Tract 17, Forsyth County, North Carolina",Poverty Rate,34.5,4.439
37067001800,"Census Tract 18, Forsyth County, North Carolina",Poverty Rate,30.1,5.51
37067001901,"Census Tract 19.01, Forsyth County, North Carolina",Poverty Rate,52,5.816
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",Poverty Rate,30.4,3.622
37067002001,"Census Tract 20.01, Forsyth County, North Carolina",Poverty Rate,42.2,4.847
37067002002,"Census Tract 20.02, Forsyth County, North Carolina",Poverty Rate,34,5.459
37067002100,"Census Tract 21, Forsyth County, North Carolina",Poverty Rate,15.5,3.469
37067002200,"Census Tract 22, Forsyth County, North Carolina",Poverty Rate,9.9,2.5
37067002501,"Census Tract 25.01, Forsyth County, North Carolina",Poverty Rate,3.1,0.969
37067002502,"Census Tract 25.02, Forsyth County, North Carolina",Poverty Rate,4.3,1.429
37067002601,"Census Tract 26.01, Forsyth County, North Carolina",Poverty Rate,15.4,4.949
37067002603,"Census Tract 26.03, Forsyth County, North Carolina",Poverty Rate,10.1,2.194
37067002604,"Census Tract 26.04, Forsyth County, North Carolina",Poverty Rate,6.2,2.296
37067002701,"Census Tract 27.01, Forsyth County, North Carolina",Poverty Rate,24.9,5.357
37067002702,"Census Tract 27.02, Forsyth County, North Carolina",Poverty Rate,30.2,5.612
37067002703,"Census Tract 27.03, Forsyth County, North Carolina",Poverty Rate,27.7,4.082
37067002801,"Census Tract 28.01, Forsyth County, North Carolina",Poverty Rate,8.9,2.449
37067002804,"Census Tract 28.04, Forsyth County, North Carolina",Poverty Rate,19.7,4.847
37067002806,"Census Tract 28.06, Forsyth County, North Carolina",Poverty Rate,20,5.357
37067002807,"Census Tract 28.07, Forsyth County, North Carolina",Poverty Rate,10.3,2.806
37067002808,"Census Tract 28.08, Forsyth County, North Carolina",Poverty Rate,6.9,1.735
37067002809,"Census Tract 28.09, Forsyth County, North Carolina",Poverty Rate,6.3,1.48
37067002901,"Census Tract 29.01, Forsyth County, North Carolina",Poverty Rate,15.6,3.52
37067002903,"Census Tract 29.03, Forsyth County, North Carolina",Poverty Rate,25,5.255
37067002904,"Census Tract 29.04, Forsyth County, North Carolina",Poverty Rate,10.8,2.959
37067003002,"Census Tract 30.02, Forsyth County, North Carolina",Poverty Rate,12.9,3.01
37067003003,"Census Tract 30.03, Forsyth County, North Carolina",Poverty Rate,10.4,3.061
37067003004,"Census Tract 30.04, Forsyth County, North Carolina",Poverty Rate,13.8,2.296
37067003103,"Census Tract 31.03, Forsyth County, North Carolina",Poverty Rate,5.8,1.633
37067003105,"Census Tract 31.05, Forsyth County, North Carolina",Poverty Rate,9,2.041
37067003106,"Census Tract 31.06, Forsyth County, North Carolina",Poverty Rate,8.4,2.398
