geo_description,year,type,subtype,estimate,se
"Durham County, NC",2012,Educational Attainment,Total Population,0.5206864483757948,0.014217581871976291
"Durham County, NC",2013,Educational Attainment,Total Population,0.5255216577180514,0.01459201419915542
"Durham County, NC",2014,Educational Attainment,Total Population,0.5241361264448213,0.014592642519912317
"Durham County, NC",2015,Educational Attainment,Total Population,0.5255352025897058,0.01451572057130297
"Durham County, NC",2016,Educational Attainment,Total Population,0.5472814308509372,0.0149986755628924
"Durham County, NC",2017,Educational Attainment,Total Population,0.5385352110056767,0.014571901186479061
"Durham County, NC",2018,Educational Attainment,Total Population,0.5514664307731592,0.01508623365162666
"Forsyth County, NC",2012,Educational Attainment,Total Population,0.39288420749596753,0.009992489953867706
"Forsyth County, NC",2013,Educational Attainment,Total Population,0.4073218969721857,0.01105269236987252
"Forsyth County, NC",2014,Educational Attainment,Total Population,0.4029554085381224,0.010748610267435049
"Forsyth County, NC",2015,Educational Attainment,Total Population,0.4196260689001161,0.011111768437488808
"Forsyth County, NC",2016,Educational Attainment,Total Population,0.4310488133568967,0.010646164521687412
"Forsyth County, NC",2017,Educational Attainment,Total Population,0.4206453248208861,0.010946361842211084
"Forsyth County, NC",2018,Educational Attainment,Total Population,0.4146864433736643,0.010773673098236443
"Guilford County, NC",2012,Educational Attainment,Total Population,0.39304122532957403,0.008655961378025238
"Guilford County, NC",2013,Educational Attainment,Total Population,0.42165964950160134,0.009400924040560974
"Guilford County, NC",2014,Educational Attainment,Total Population,0.4180347237400977,0.01005113608289268
"Guilford County, NC",2015,Educational Attainment,Total Population,0.4227344674620422,0.01016897023483646
"Guilford County, NC",2016,Educational Attainment,Total Population,0.4167857461178182,0.009971801906080553
"Guilford County, NC",2017,Educational Attainment,Total Population,0.45151226030751984,0.010371867592682951
"Guilford County, NC",2018,Educational Attainment,Total Population,0.45981048046928646,0.010923282081561729
North Carolina,2012,Educational Attainment,Total Population,0.36023869767760064,0.0020753370676387627
North Carolina,2013,Educational Attainment,Total Population,0.37144840753276054,0.0021081671310040585
North Carolina,2014,Educational Attainment,Total Population,0.3793125032554346,0.0020845221780366524
North Carolina,2015,Educational Attainment,Total Population,0.3866638551430476,0.0021151554912045936
North Carolina,2016,Educational Attainment,Total Population,0.399287062947994,0.0021169411856602456
North Carolina,2017,Educational Attainment,Total Population,0.4074993009053544,0.0021125243659256853
North Carolina,2018,Educational Attainment,Total Population,0.4178762075226861,0.0022733114417024898
United States,2012,Educational Attainment,Total Population,0.3705891671414153,3.812180350869712e-4
United States,2013,Educational Attainment,Total Population,0.37680775336983396,4.0957528848386594e-4
United States,2014,Educational Attainment,Total Population,0.382193559533133,4.042486579810744e-4
United States,2015,Educational Attainment,Total Population,0.38830863770665364,4.101010870088553e-4
United States,2016,Educational Attainment,Total Population,0.3963562318297687,4.1150941648249807e-4
United States,2017,Educational Attainment,Total Population,0.4046401826660558,4.3502242768925025e-4
United States,2018,Educational Attainment,Total Population,0.4119403655101337,4.4842738747740893e-4
"Forsyth County, NC",2012,Race / Ethnicity,African American,0.25656757995698015,0.01819492979528784
"Forsyth County, NC",2012,Race / Ethnicity,Hispanic / Latino,0.13042846064366034,NA
"Forsyth County, NC",2012,Race / Ethnicity,"White, non-Hispanic",0.4664997074927859,0.013035723368627078
"Forsyth County, NC",2013,Race / Ethnicity,African American,0.289833185786943,0.020806179071854544
"Forsyth County, NC",2013,Race / Ethnicity,Hispanic / Latino,0.1125876168224299,0.025416343972332913
"Forsyth County, NC",2013,Race / Ethnicity,"White, non-Hispanic",0.4853168469860896,0.013822181327667202
"Forsyth County, NC",2014,Race / Ethnicity,African American,0.2942889252145484,0.020977681229458388
"Forsyth County, NC",2014,Race / Ethnicity,Hispanic / Latino,0.141320110399027,NA
"Forsyth County, NC",2014,Race / Ethnicity,"White, non-Hispanic",0.47592441173798494,0.013954884004298507
"Forsyth County, NC",2015,Race / Ethnicity,African American,0.30204609161253504,0.023219614964244677
"Forsyth County, NC",2015,Race / Ethnicity,Hispanic / Latino,0.17407510949585314,NA
"Forsyth County, NC",2015,Race / Ethnicity,"White, non-Hispanic",0.49703413977102007,0.013223994614669336
"Forsyth County, NC",2016,Race / Ethnicity,African American,0.3121632787968931,0.02283197841509122
"Forsyth County, NC",2016,Race / Ethnicity,Hispanic / Latino,0.1720647773279352,NA
"Forsyth County, NC",2016,Race / Ethnicity,"White, non-Hispanic",0.5028609745194457,0.013410749560547648
