geo_description,year,type,subtype,estimate,se
"Census Tract 1, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.5289256198347108,0.04086882960721657
"Census Tract 10, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.5517117117117117,0.03745454904932099
"Census Tract 11, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.605896805896806,0.0360069442717184
"Census Tract 12, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.7898351648351648,0.038641970237096084
"Census Tract 13, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.6412459720730398,0.041587565252502824
"Census Tract 14, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.21664342166434217,0.045843368353931
"Census Tract 15, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.1661514683153014,0.026155344083915514
"Census Tract 16.01, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.30615640599001664,0.042360131379586066
"Census Tract 16.02, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.20818038804404823,0.044903963139649734
"Census Tract 17, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.23201133144475922,0.029174314188085634
"Census Tract 18, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.17227049489988666,0.032636772153403354
"Census Tract 19.01, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.0926130099228225,0.03251856954011481
"Census Tract 19.02, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.4320060105184072,0.04634053672898189
"Census Tract 2, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.27991675338189387,0.03453806500913258
"Census Tract 20.01, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.22181436811746197,0.024164979402873665
"Census Tract 20.02, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.18083182640144665,0.031582283554352615
"Census Tract 21, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.5362404242781379,0.03384969487779742
"Census Tract 22, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.6471371504660453,0.03755618796070128
"Census Tract 25.01, Forsyth County, North Carolina",2018,Educational Attainment,Census Tract,0.8516971279373368,0.0472469929854478
