"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Alamance County, NC"	"37001"	"Female"	"F"	44	413881	10.63	1.60	10.67	1.65
	"Alamance County, NC"	"37001"	"Male"	"M"	58	376644	15.40	2.02	16.08	2.16
	"Alexander County, NC"	"37003"	"Female"	"F"	19	91706	Unreliable	4.75	Unreliable	5.38
	"Alexander County, NC"	"37003"	"Male"	"M"	19	94655	Unreliable	4.61	Unreliable	4.83
	"Alleghany County, NC"	"37005"	"Female"	"F"	Suppressed	27419	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"Male"	"M"	Suppressed	27115	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Female"	"F"	Suppressed	61231	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Male"	"M"	Suppressed	66893	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Female"	"F"	Suppressed	68400	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Male"	"M"	18	66778	Unreliable	6.35	Unreliable	7.07
	"Avery County, NC"	"37011"	"Female"	"F"	Suppressed	40167	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	"Male"	"M"	Suppressed	48060	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	"Female"	"F"	18	123514	Unreliable	3.43	Unreliable	3.50
	"Beaufort County, NC"	"37013"	"Male"	"M"	29	113800	25.48	4.73	29.99	5.80
	"Bertie County, NC"	"37015"	"Female"	"F"	Suppressed	49392	Suppressed	Suppressed	Suppressed	Suppressed
	"Bertie County, NC"	"37015"	"Male"	"M"	Suppressed	50335	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	"Female"	"F"	11	89044	Unreliable	3.72	Unreliable	4.15
	"Bladen County, NC"	"37017"	"Male"	"M"	16	81993	Unreliable	4.88	Unreliable	5.17
	"Brunswick County, NC"	"37019"	"Female"	"F"	51	317385	16.07	2.25	19.17	2.88
	"Brunswick County, NC"	"37019"	"Male"	"M"	110	297367	36.99	3.53	48.46	4.78
	"Buncombe County, NC"	"37021"	"Female"	"F"	71	658062	10.79	1.28	11.49	1.39
	"Buncombe County, NC"	"37021"	"Male"	"M"	160	607262	26.35	2.08	26.84	2.15
