"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Alamance County, NC"	"37001"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	8602	Suppressed	Suppressed	Suppressed	Suppressed
	"Alamance County, NC"	"37001"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1305	Suppressed	Suppressed	Suppressed	Suppressed
	"Alamance County, NC"	"37001"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	6294	Suppressed	Suppressed	Suppressed	Suppressed
	"Alamance County, NC"	"37001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	81547	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Alamance County, NC"	"37001"	"Hispanic or Latino"	"2135-2"			Suppressed	97748	Suppressed	Suppressed	Suppressed	Suppressed
	"Alamance County, NC"	"37001"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3174	Suppressed	Suppressed	Suppressed	Suppressed
	"Alamance County, NC"	"37001"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	13339	Suppressed	Suppressed	Suppressed	Suppressed
	"Alamance County, NC"	"37001"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	14	155888	Unreliable	2.40	Unreliable	2.37
	"Alamance County, NC"	"37001"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	83	520376	15.95	1.75	16.68	1.90
"Total"	"Alamance County, NC"	"37001"	"Not Hispanic or Latino"	"2186-2"			98	692777	14.15	1.43	14.50	1.52
	"Alamance County, NC"	"37001"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Alamance County, NC"	"37001"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Alamance County, NC"	"37001"					102	790525	12.90	1.28	13.27	1.35
	"Alexander County, NC"	"37003"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	404	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	66	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	387	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	7564	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Alexander County, NC"	"37003"	"Hispanic or Latino"	"2135-2"			Suppressed	8421	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	490	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2093	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	11463	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	37	163894	22.58	3.71	24.19	4.10
"Total"	"Alexander County, NC"	"37003"	"Not Hispanic or Latino"	"2186-2"			37	177940	20.79	3.42	22.04	3.72
	"Alexander County, NC"	"37003"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
