"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Alamance County, NC"	"37001"	"2006"	"2006"	10	141462	Unreliable	2.24	Unreliable	2.33
	"Alamance County, NC"	"37001"	"2007"	"2007"	11	144712	Unreliable	2.29	Unreliable	2.30
	"Alamance County, NC"	"37001"	"2008"	"2008"	19	147704	Unreliable	2.95	Unreliable	3.10
	"Alamance County, NC"	"37001"	"2009"	"2009"	20	149954	13.34	2.98	14.22	3.21
	"Alamance County, NC"	"37001"	"2010"	"2010"	Suppressed	151131	Suppressed	Suppressed	Suppressed	Suppressed
	"Alamance County, NC"	"37001"	"2011"	"2011"	16	153291	Unreliable	2.61	Unreliable	2.95
	"Alamance County, NC"	"37001"	"2012"	"2012"	19	153920	Unreliable	2.83	Unreliable	3.17
	"Alamance County, NC"	"37001"	"2013"	"2013"	15	154378	Unreliable	2.51	Unreliable	2.63
	"Alamance County, NC"	"37001"	"2014"	"2014"	16	155792	Unreliable	2.57	Unreliable	2.69
	"Alamance County, NC"	"37001"	"2015"	"2015"	14	158276	Unreliable	2.36	Unreliable	2.34
	"Alamance County, NC"	"37001"	"2016"	"2016"	14	159688	Unreliable	2.34	Unreliable	2.63
	"Alamance County, NC"	"37001"	"2017"	"2017"	43	162391	26.48	4.04	27.49	4.31
	"Alexander County, NC"	"37003"	"2006"	"2006"	Suppressed	36243	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2007"	"2007"	Suppressed	36609	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2008"	"2008"	Suppressed	36840	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2009"	"2009"	11	37053	Unreliable	8.95	Unreliable	8.94
	"Alexander County, NC"	"37003"	"2010"	"2010"	Suppressed	37198	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2011"	"2011"	Suppressed	37087	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2012"	"2012"	Suppressed	36853	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2013"	"2013"	Suppressed	36930	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2014"	"2014"	Suppressed	37392	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2015"	"2015"	11	37325	Unreliable	8.89	Unreliable	9.63
	"Alexander County, NC"	"37003"	"2016"	"2016"	Suppressed	37428	Suppressed	Suppressed	Suppressed	Suppressed
	"Alexander County, NC"	"37003"	"2017"	"2017"	Suppressed	37286	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2006"	"2006"	Suppressed	10940	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2007"	"2007"	Suppressed	11061	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2008"	"2008"	Suppressed	11131	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2009"	"2009"	Suppressed	11125	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2010"	"2010"	Suppressed	11155	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2011"	"2011"	Suppressed	11052	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2012"	"2012"	Suppressed	10927	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2013"	"2013"	Suppressed	10939	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2014"	"2014"	Suppressed	10879	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"2015"	"2015"	Suppressed	10837	Suppressed	Suppressed	Suppressed	Suppressed
