geo_description,year,population,geo_category
"Alamance County, NC",2006,141462,County
"Alamance County, NC",2007,144712,County
"Alamance County, NC",2008,147704,County
"Alamance County, NC",2009,149954,County
"Alamance County, NC",2010,151440,County
"Alamance County, NC",2011,152696,County
"Alamance County, NC",2012,153282,County
"Alamance County, NC",2013,154199,County
"Alamance County, NC",2014,155425,County
"Alamance County, NC",2015,157100,County
"Alamance County, NC",2016,160392,County
"Alamance County, NC",2017,163529,County
"Alamance County, NC",2018,166436,County
"Alexander County, NC",2006,36243,County
"Alexander County, NC",2007,36609,County
"Alexander County, NC",2008,36840,County
"Alexander County, NC",2009,37053,County
"Alexander County, NC",2010,37235,County
"Alexander County, NC",2011,37028,County
"Alexander County, NC",2012,36925,County
"Alexander County, NC",2013,37016,County
"Alexander County, NC",2014,36992,County
"Alexander County, NC",2015,36960,County
"Alexander County, NC",2016,37142,County
"Alexander County, NC",2017,37146,County
"Alexander County, NC",2018,37353,County
"Alleghany County, NC",2006,10940,County
"Alleghany County, NC",2007,11061,County
"Alleghany County, NC",2008,11131,County
"Alleghany County, NC",2009,11125,County
"Alleghany County, NC",2010,11139,County
"Alleghany County, NC",2011,11017,County
"Alleghany County, NC",2012,10945,County
"Alleghany County, NC",2013,10905,County
"Alleghany County, NC",2014,10895,County
"Alleghany County, NC",2015,10861,County
"Alleghany County, NC",2016,10926,County
"Alleghany County, NC",2017,11023,County
"Alleghany County, NC",2018,11161,County
"Anson County, NC",2006,26599,County
"Anson County, NC",2007,26664,County
"Anson County, NC",2008,26837,County
"Anson County, NC",2009,26917,County
"Anson County, NC",2010,26852,County
"Anson County, NC",2011,26508,County
"Anson County, NC",2012,26312,County
"Anson County, NC",2013,25964,County
"Anson County, NC",2014,25974,County
"Anson County, NC",2015,25620,County
"Anson County, NC",2016,25182,County
"Anson County, NC",2017,24878,County
"Anson County, NC",2018,24877,County
"Ashe County, NC",2006,26134,County
"Ashe County, NC",2007,26506,County
"Ashe County, NC",2008,26858,County
"Ashe County, NC",2009,27144,County
"Ashe County, NC",2010,27228,County
"Ashe County, NC",2011,26984,County
"Ashe County, NC",2012,26927,County
"Ashe County, NC",2013,26849,County
"Ashe County, NC",2014,26772,County
"Ashe County, NC",2015,26637,County
"Ashe County, NC",2016,26611,County
"Ashe County, NC",2017,26803,County
"Ashe County, NC",2018,27109,County
"Avery County, NC",2006,18104,County
"Avery County, NC",2007,17949,County
"Avery County, NC",2008,18024,County
"Avery County, NC",2009,17925,County
"Avery County, NC",2010,17765,County
"Avery County, NC",2011,17728,County
"Avery County, NC",2012,17576,County
"Avery County, NC",2013,17614,County
"Avery County, NC",2014,17615,County
"Avery County, NC",2015,17455,County
"Avery County, NC",2016,17423,County
"Avery County, NC",2017,17505,County
"Avery County, NC",2018,17505,County
"Beaufort County, NC",2006,46622,County
"Beaufort County, NC",2007,46702,County
"Beaufort County, NC",2008,47297,County
"Beaufort County, NC",2009,47485,County
"Beaufort County, NC",2010,47807,County
"Beaufort County, NC",2011,47655,County
"Beaufort County, NC",2012,47418,County
"Beaufort County, NC",2013,47372,County
"Beaufort County, NC",2014,47328,County
"Beaufort County, NC",2015,47385,County
"Beaufort County, NC",2016,47370,County
"Beaufort County, NC",2017,47051,County
"Beaufort County, NC",2018,47079,County
"Bertie County, NC",2006,19936,County
"Bertie County, NC",2007,20927,County
"Bertie County, NC",2008,21121,County
"Bertie County, NC",2009,21216,County
"Bertie County, NC",2010,21245,County
"Bertie County, NC",2011,20854,County
"Bertie County, NC",2012,20491,County
"Bertie County, NC",2013,20326,County
"Bertie County, NC",2014,20321,County
"Bertie County, NC",2015,20167,County
"Bertie County, NC",2016,19432,County
"Bertie County, NC",2017,19274,County
"Bertie County, NC",2018,19026,County
"Bladen County, NC",2006,34114,County
"Bladen County, NC",2007,34285,County
"Bladen County, NC",2008,34665,County
"Bladen County, NC",2009,34852,County
"Bladen County, NC",2010,35192,County
"Bladen County, NC",2011,34892,County
"Bladen County, NC",2012,34829,County
"Bladen County, NC",2013,34642,County
"Bladen County, NC",2014,34386,County
"Bladen County, NC",2015,34140,County
"Bladen County, NC",2016,33704,County
"Bladen County, NC",2017,33468,County
"Bladen County, NC",2018,33190,County
"Brunswick County, NC",2006,93938,County
"Brunswick County, NC",2007,99008,County
"Brunswick County, NC",2008,103257,County
"Brunswick County, NC",2009,105777,County
"Brunswick County, NC",2010,108065,County
"Brunswick County, NC",2011,110167,County
"Brunswick County, NC",2012,112002,County
"Brunswick County, NC",2013,114920,County
"Brunswick County, NC",2014,118308,County
"Brunswick County, NC",2015,122211,County
"Brunswick County, NC",2016,126302,County
"Brunswick County, NC",2017,130735,County
"Brunswick County, NC",2018,136744,County
"Buncombe County, NC",2006,226524,County
"Buncombe County, NC",2007,230766,County
"Buncombe County, NC",2008,233772,County
"Buncombe County, NC",2009,236349,County
"Buncombe County, NC",2010,238737,County
"Buncombe County, NC",2011,241148,County
"Buncombe County, NC",2012,243657,County
"Buncombe County, NC",2013,246823,County
"Buncombe County, NC",2014,249122,County
"Buncombe County, NC",2015,251973,County
"Buncombe County, NC",2016,254988,County
"Buncombe County, NC",2017,257185,County
"Buncombe County, NC",2018,259103,County
"Burke County, NC",2006,89903,County
"Burke County, NC",2007,90146,County
"Burke County, NC",2008,90788,County
"Burke County, NC",2009,91178,County
"Burke County, NC",2010,90575,County
"Burke County, NC",2011,90527,County
"Burke County, NC",2012,89959,County
"Burke County, NC",2013,89345,County
"Burke County, NC",2014,89289,County
"Burke County, NC",2015,89324,County
"Burke County, NC",2016,89438,County
"Burke County, NC",2017,90127,County
"Burke County, NC",2018,90382,County
"Cabarrus County, NC",2006,157735,County
"Cabarrus County, NC",2007,165717,County
"Cabarrus County, NC",2008,171915,County
"Cabarrus County, NC",2009,175993,County
"Cabarrus County, NC",2010,178535,County
"Cabarrus County, NC",2011,181134,County
"Cabarrus County, NC",2012,184127,County
"Cabarrus County, NC",2013,187036,County
"Cabarrus County, NC",2014,191490,County
"Cabarrus County, NC",2015,196215,County
"Cabarrus County, NC",2016,201470,County
"Cabarrus County, NC",2017,206724,County
"Cabarrus County, NC",2018,211342,County
"Caldwell County, NC",2006,80897,County
"Caldwell County, NC",2007,81588,County
"Caldwell County, NC",2008,82527,County
"Caldwell County, NC",2009,82798,County
"Caldwell County, NC",2010,83021,County
"Caldwell County, NC",2011,82440,County
"Caldwell County, NC",2012,82072,County
"Caldwell County, NC",2013,82044,County
"Caldwell County, NC",2014,81665,County
"Caldwell County, NC",2015,81512,County
"Caldwell County, NC",2016,81767,County
"Caldwell County, NC",2017,81920,County
"Caldwell County, NC",2018,82029,County
"Camden County, NC",2006,9321,County
"Camden County, NC",2007,9570,County
"Camden County, NC",2008,9802,County
"Camden County, NC",2009,9899,County
"Camden County, NC",2010,10009,County
"Camden County, NC",2011,10022,County
"Camden County, NC",2012,10001,County
"Camden County, NC",2013,10115,County
"Camden County, NC",2014,10276,County
"Camden County, NC",2015,10284,County
"Camden County, NC",2016,10402,County
"Camden County, NC",2017,10561,County
