year,geo_description,type,subtype,estimate,se
2008,"Durham County, NC",Crime Rate,Violent,760,16.868430153323892
2008,"Durham County, NC",Crime Rate,Murder,9.9,1.9278520643439905
2008,"Durham County, NC",Crime Rate,Rape,31.4,3.4270247911425176
2008,"Durham County, NC",Crime Rate,Robbery,364.1,11.675846272865652
2008,"Durham County, NC",Crime Rate,Assault,354.6,11.52204136205365
2009,"Durham County, NC",Crime Rate,Violent,630.5,15.182047572682501
2009,"Durham County, NC",Crime Rate,Murder,8.2,1.726953863849259
2009,"Durham County, NC",Crime Rate,Rape,24.5,2.9911718345143026
2009,"Durham County, NC",Crime Rate,Robbery,279.3,10.104981743613804
2009,"Durham County, NC",Crime Rate,Assault,318.6,10.791405555763845
2010,"Durham County, NC",Crime Rate,Violent,646.6,15.199031985746501
2010,"Durham County, NC",Crime Rate,Murder,10.3,1.9148980382476881
2010,"Durham County, NC",Crime Rate,Rape,26.6,3.0832787669762585
2010,"Durham County, NC",Crime Rate,Robbery,258.9,9.616949336070144
2010,"Durham County, NC",Crime Rate,Assault,350.9,11.196044672983124
2011,"Durham County, NC",Crime Rate,Violent,671.2,15.251947587871065
2011,"Durham County, NC",Crime Rate,Murder,11.3,1.980605394116525
2011,"Durham County, NC",Crime Rate,Rape,27.2,3.0683406827287505
2011,"Durham County, NC",Crime Rate,Robbery,269.4,9.662431676728312
2011,"Durham County, NC",Crime Rate,Assault,363.4,11.221488628663824
2012,"Durham County, NC",Crime Rate,Violent,666,14.954972892473325
2012,"Durham County, NC",Crime Rate,Murder,7.8,1.6211865845995443
2012,"Durham County, NC",Crime Rate,Rape,26.5,2.980935151193753
2012,"Durham County, NC",Crime Rate,Robbery,234.8,8.879604623099278
2012,"Durham County, NC",Crime Rate,Assault,396.9,11.545112196697696
2013,"Durham County, NC",Crime Rate,Violent,599.8,14.10547332163936
2013,"Durham County, NC",Crime Rate,Murder,10.5,1.8649340131855645
2013,"Durham County, NC",Crime Rate,Rape,24.6,2.8557417262268263
2013,"Durham County, NC",Crime Rate,Robbery,228.1,8.699196691414272
2013,"Durham County, NC",Crime Rate,Assault,336.6,10.566698390278646
2014,"Durham County, NC",Crime Rate,Violent,675.5,14.773737368593066
2014,"Durham County, NC",Crime Rate,Murder,7.8,1.588899610033716
2014,"Durham County, NC",Crime Rate,Rape,28.4,3.029912672468118
2014,"Durham County, NC",Crime Rate,Robbery,236.5,8.742230089237388
2014,"Durham County, NC",Crime Rate,Assault,402.8,11.407530676243981
2015,"Durham County, NC",Crime Rate,Violent,785,15.80670555635612
2015,"Durham County, NC",Crime Rate,Murder,13.5,2.076440291399444
2015,"Durham County, NC",Crime Rate,Rape,27.8,2.9739395554518326
2015,"Durham County, NC",Crime Rate,Robbery,263.3,9.154228457007335
2015,"Durham County, NC",Crime Rate,Assault,480.4,12.365117109798375
2016,"Durham County, NC",Crime Rate,Violent,795.4,15.68712680801049
2016,"Durham County, NC",Crime Rate,Murder,14,2.0809295388221996
2016,"Durham County, NC",Crime Rate,Rape,31.4,3.1171619072245944
2016,"Durham County, NC",Crime Rate,Robbery,302.4,9.673470412334682
