year,index_rate,violent,property,murder,rape,robbery,assault,burglary,larceny,mtv,arson,geo_description,estimate
2008,"6,304.20",760,"5,544.30",9.9,31.4,364.1,354.6,"1,548.20","3,610.50",385.6,13.9,Durham,rate
2009,"5,899.90",630.5,"5,269.30",8.2,24.5,279.3,318.6,"1,581.20","3,371.10",317,12.8,Durham,rate
2010,"5,666.90",646.6,"5,020.30",10.3,26.6,258.9,350.9,"1,568.10","3,147.70",304.5,14.4,Durham,rate
2011,"5,528.40",671.2,"4,857.10",11.3,27.2,269.4,363.4,"1,617.90","2,980.00",259.2,9.8,Durham,rate
2012,"5,098.30",666,"4,432.30",7.8,26.5,234.8,396.9,"1,383.00","2,763.80",285.5,22.7,Durham,rate
2013,"4,990.90",599.8,"4,391.20",10.5,24.6,228.1,336.6,"1,344.50","2,768.60",278,12.3,Durham,rate
2014,"5,111.20",675.5,"4,435.70",7.8,28.4,236.5,402.8,"1,482.10","2,731.60",222,8.9,Durham,rate
2015,"4,923.70",785,"4,138.80",13.5,27.8,263.3,480.4,"1,250.70","2,660.20",227.8,12.2,Durham,rate
2016,"4,618.60",795.4,"3,823.20",14,31.4,302.4,447.5,976.6,"2,590.60",256,7.5,Durham,rate
2017,"4,626.30",767.9,"3,858.40",8,28.8,297.3,433.8,905.3,"2,675.20",277.9,10.7,Durham,rate
2008,"6,516.80",750.1,"5,766.70",5.9,39.9,237,467.2,"1,672.50","3,710.70",383.5,48.8,Forsyth,rate
2009,"5,847.00",614,"5,232.90",5,39.7,185.1,384.3,"1,606.50","3,331.70",294.8,30.3,Forsyth,rate
2010,"5,463.50",532.9,"4,930.60",3.7,34.7,137.8,356.8,"1,538.50","3,172.30",219.8,36.9,Forsyth,rate
2011,"5,683.00",553.2,"5,129.80",4.8,33.3,137.8,377.3,"1,671.00","3,227.30",231.5,22.5,Forsyth,rate
2012,"5,473.50",545,"4,928.50",2.3,27.7,132.1,383,"1,526.40","3,167.90",234.3,31.6,Forsyth,rate
2013,"5,028.40",497.9,"4,530.50",5,27.5,140.9,324.4,"1,321.90","2,995.10",213.5,25.2,Forsyth,rate
2014,"5,115.70",561,"4,554.70",4.7,27.2,131.7,397.3,"1,294.50","3,023.90",236.2,29.5,Forsyth,rate
